               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090063,            0.028526,            0.050013,             0.83049,             0.14025,               0.109,            0.034007,            0.069866,            0.013929,            0.038042,            0.070275,           0.0033028,           0.0033028
                   1,            0.063611,             0.01976,            0.032966,             0.46566,             0.41621,              0.2854,               0.106,            0.055642,            0.012024,             0.02556,             0.04021,           0.0065704,           0.0065704
                   2,            0.059966,            0.017864,            0.024978,             0.28429,             0.21753,               0.142,            0.050049,            0.066227,            0.013992,            0.034472,            0.010078,            0.009772,            0.009772
                   3,            0.054849,            0.016769,            0.020941,             0.70137,             0.35522,              0.3676,             0.14468,            0.053291,            0.012471,            0.020881,            0.009703,            0.009703,            0.009703
                   4,            0.049725,            0.016427,            0.018529,             0.63996,              0.3819,             0.37655,             0.16308,            0.049218,            0.012881,             0.02163,            0.009703,            0.009703,            0.009703
                   5,            0.047815,            0.016395,            0.016872,             0.60585,             0.41011,              0.4361,             0.17598,             0.04722,            0.012631,            0.018459,            0.009604,            0.009604,            0.009604
                   6,            0.046346,            0.016065,            0.016355,             0.69465,             0.42711,             0.43406,             0.18432,            0.050458,            0.012574,            0.020136,            0.009505,            0.009505,            0.009505
                   7,            0.044689,            0.016122,            0.015637,             0.72932,             0.47667,             0.50573,             0.21648,            0.045605,            0.011669,            0.019319,            0.009406,            0.009406,            0.009406
                   8,            0.044414,            0.015712,            0.015304,             0.54951,             0.29774,             0.30122,             0.11376,             0.05765,            0.014432,            0.030473,            0.009307,            0.009307,            0.009307
                   9,            0.043064,            0.015624,            0.014904,             0.62485,             0.36569,             0.40621,             0.18477,            0.047133,            0.013253,               0.024,            0.009208,            0.009208,            0.009208
                  10,            0.042271,             0.01538,            0.013966,             0.63905,             0.50923,             0.52798,             0.23308,            0.043304,            0.011391,            0.018359,            0.009109,            0.009109,            0.009109
                  11,            0.041683,            0.015448,            0.013737,             0.70454,              0.4394,             0.48932,             0.21866,            0.043839,            0.011662,            0.020511,             0.00901,             0.00901,             0.00901
                  12,            0.040691,            0.015224,            0.013407,             0.65118,             0.45495,             0.51424,             0.24588,            0.044423,            0.012865,            0.019424,            0.008911,            0.008911,            0.008911
                  13,            0.040026,            0.015063,            0.013062,             0.53818,             0.54173,             0.54307,             0.23907,             0.04283,            0.011827,            0.021178,            0.008812,            0.008812,            0.008812
                  14,            0.040001,            0.015326,            0.012521,             0.57258,             0.56488,             0.55675,             0.25742,            0.043008,            0.011402,            0.016219,            0.008713,            0.008713,            0.008713
                  15,            0.039395,             0.01531,            0.012026,             0.56433,             0.58376,             0.58217,              0.2701,            0.042452,            0.011586,            0.016315,            0.008614,            0.008614,            0.008614
                  16,            0.039149,            0.014868,            0.011718,             0.67739,             0.59504,             0.61454,             0.29153,            0.040311,            0.011232,            0.017189,            0.008515,            0.008515,            0.008515
                  17,             0.03841,            0.014678,            0.011581,             0.66648,             0.57407,             0.59574,             0.28959,            0.040273,            0.010944,            0.018698,            0.008416,            0.008416,            0.008416
                  18,             0.03812,            0.014658,            0.010948,             0.64234,             0.50631,             0.52148,              0.2328,            0.045032,            0.012534,            0.018827,            0.008317,            0.008317,            0.008317
                  19,            0.038179,            0.014942,             0.01083,             0.69109,             0.60302,             0.61841,             0.30743,            0.039923,            0.010824,            0.024169,            0.008218,            0.008218,            0.008218
                  20,            0.037802,            0.014713,            0.010518,             0.70164,             0.56572,             0.61067,             0.29112,            0.040704,            0.011394,            0.022001,            0.008119,            0.008119,            0.008119
                  21,            0.037089,             0.01436,            0.010831,             0.70437,             0.54805,             0.59453,             0.28215,            0.041412,             0.01144,            0.018522,             0.00802,             0.00802,             0.00802
                  22,             0.03705,            0.014522,            0.010437,             0.56011,             0.51465,             0.53365,             0.26475,            0.041045,            0.011838,            0.021779,            0.007921,            0.007921,            0.007921
                  23,            0.037109,            0.014481,            0.010505,             0.65388,             0.60462,             0.61587,             0.30966,            0.038512,            0.010863,             0.02418,            0.007822,            0.007822,            0.007822
                  24,            0.036788,            0.014063,            0.010123,              0.6838,             0.56966,             0.60005,             0.29007,            0.040796,            0.011311,            0.019347,            0.007723,            0.007723,            0.007723
                  25,            0.036395,            0.014348,           0.0094248,             0.62667,             0.61335,             0.62594,             0.29954,            0.039423,            0.011085,            0.019198,            0.007624,            0.007624,            0.007624
                  26,             0.03587,            0.014735,           0.0094245,             0.71305,             0.60131,             0.63709,             0.31675,            0.039014,            0.010986,            0.018295,            0.007525,            0.007525,            0.007525
                  27,             0.03549,            0.014059,           0.0092108,             0.65658,             0.63307,             0.64412,             0.32457,            0.039204,            0.011062,            0.019281,            0.007426,            0.007426,            0.007426
                  28,            0.035119,            0.014375,           0.0089141,             0.67483,             0.57971,             0.61968,              0.3104,            0.039832,            0.011129,            0.022363,            0.007327,            0.007327,            0.007327
                  29,            0.035512,            0.014108,            0.008887,             0.66018,             0.62564,             0.63278,              0.3095,            0.039759,            0.010955,            0.017829,            0.007228,            0.007228,            0.007228
                  30,            0.035766,            0.013917,           0.0089812,               0.672,             0.60112,             0.63088,             0.30234,            0.040269,            0.011118,            0.017814,            0.007129,            0.007129,            0.007129
                  31,            0.035324,            0.014066,           0.0084816,             0.73503,             0.55726,             0.60383,             0.30203,            0.039753,            0.011224,            0.018057,             0.00703,             0.00703,             0.00703
                  32,            0.034745,            0.013932,           0.0084706,             0.71241,             0.62195,             0.65406,              0.3189,            0.039379,            0.010989,            0.018471,            0.006931,            0.006931,            0.006931
                  33,             0.03463,             0.01397,            0.008047,             0.63593,             0.63878,             0.63512,              0.3221,            0.039602,            0.011111,            0.019325,            0.006832,            0.006832,            0.006832
                  34,            0.034664,            0.014171,           0.0081959,             0.68686,             0.61129,             0.63597,             0.32165,            0.039556,            0.010999,            0.018717,            0.006733,            0.006733,            0.006733
                  35,             0.03414,            0.013866,           0.0082114,             0.67839,              0.6203,             0.64303,             0.30928,             0.03957,            0.011031,            0.020875,            0.006634,            0.006634,            0.006634
                  36,             0.03448,             0.01388,           0.0076255,             0.67501,             0.63495,             0.66631,             0.32275,            0.039761,            0.010992,              0.0172,            0.006535,            0.006535,            0.006535
                  37,            0.033823,            0.013761,           0.0077848,             0.67049,             0.60369,             0.64244,             0.29701,            0.040475,            0.011043,            0.017433,            0.006436,            0.006436,            0.006436
                  38,            0.034132,             0.01376,           0.0077498,             0.60348,             0.64422,             0.64463,             0.32717,            0.038319,            0.010827,             0.02011,            0.006337,            0.006337,            0.006337
                  39,            0.033655,            0.013343,             0.00775,              0.6589,             0.60064,             0.64044,             0.33134,            0.038841,            0.011019,            0.017872,            0.006238,            0.006238,            0.006238
                  40,            0.033654,            0.013602,           0.0075633,             0.68289,             0.59902,             0.63407,             0.32575,            0.039854,            0.011022,            0.023189,            0.006139,            0.006139,            0.006139
                  41,            0.033224,            0.013713,           0.0068532,             0.63735,             0.63071,             0.62383,             0.31466,            0.038075,            0.011012,            0.020121,             0.00604,             0.00604,             0.00604
                  42,            0.033286,            0.013293,           0.0067884,             0.68621,             0.62042,             0.63828,             0.32589,             0.03808,             0.01112,             0.02143,            0.005941,            0.005941,            0.005941
                  43,            0.032943,            0.013445,           0.0068288,             0.67127,             0.61777,             0.62172,             0.31247,            0.038455,            0.011044,            0.020965,            0.005842,            0.005842,            0.005842
                  44,             0.03289,            0.013258,           0.0068376,             0.65108,             0.61716,             0.62652,             0.31895,            0.038323,            0.011132,            0.022085,            0.005743,            0.005743,            0.005743
                  45,            0.032762,            0.013352,           0.0067575,             0.70327,             0.64157,             0.65775,             0.32832,            0.038411,            0.010988,            0.017362,            0.005644,            0.005644,            0.005644
                  46,            0.032607,             0.01313,           0.0065239,             0.68248,              0.6037,             0.64708,             0.33724,            0.038132,            0.011178,            0.022009,            0.005545,            0.005545,            0.005545
                  47,            0.032214,            0.013295,           0.0062774,             0.70615,              0.6192,             0.65299,             0.33483,            0.038423,            0.011139,            0.017734,            0.005446,            0.005446,            0.005446
                  48,            0.032461,            0.013288,             0.00601,             0.72506,             0.58243,             0.63316,             0.30738,            0.039501,            0.011151,            0.019823,            0.005347,            0.005347,            0.005347
                  49,            0.032317,            0.013106,           0.0061033,             0.72708,             0.61305,             0.65519,             0.33636,            0.037537,             0.01105,            0.024286,            0.005248,            0.005248,            0.005248
                  50,             0.03178,            0.013318,           0.0058314,             0.74771,             0.59961,             0.64781,             0.32442,            0.039208,            0.011133,            0.021307,            0.005149,            0.005149,            0.005149
                  51,            0.031705,            0.013039,           0.0056749,             0.69277,             0.63435,             0.66768,              0.3359,            0.038505,            0.011246,            0.019521,             0.00505,             0.00505,             0.00505
                  52,            0.031662,              0.0131,           0.0054816,             0.67831,             0.59814,             0.61801,              0.3173,            0.038561,            0.011252,            0.027972,            0.004951,            0.004951,            0.004951
                  53,            0.030919,             0.01299,            0.005294,              0.7389,              0.5802,             0.62991,              0.3305,            0.037746,            0.011372,             0.02464,            0.004852,            0.004852,            0.004852
                  54,            0.031244,            0.012828,           0.0053937,             0.75666,             0.60415,             0.64724,             0.34128,            0.038402,             0.01126,            0.020733,            0.004753,            0.004753,            0.004753
                  55,            0.031137,            0.013057,           0.0052953,             0.66096,             0.63851,              0.6549,             0.33922,            0.038406,            0.011178,            0.020964,            0.004654,            0.004654,            0.004654
                  56,            0.030955,            0.012682,           0.0050007,             0.67895,             0.58445,             0.62512,             0.31962,            0.038269,            0.011349,            0.025887,            0.004555,            0.004555,            0.004555
                  57,            0.030802,            0.012728,           0.0046816,             0.71387,             0.58257,             0.61858,             0.30277,            0.038828,            0.011434,            0.023762,            0.004456,            0.004456,            0.004456
                  58,            0.031001,            0.012752,           0.0048625,             0.65701,             0.62751,             0.63298,             0.32643,            0.037906,            0.011233,            0.027945,            0.004357,            0.004357,            0.004357
                  59,            0.030519,             0.01267,           0.0049264,             0.71207,             0.59068,             0.61082,             0.32028,            0.038407,            0.011557,            0.025432,            0.004258,            0.004258,            0.004258
                  60,            0.030037,            0.012664,           0.0048761,             0.70721,             0.59692,             0.64314,             0.33355,            0.038212,            0.011232,            0.021248,            0.004159,            0.004159,            0.004159
                  61,            0.029879,            0.012555,            0.004423,             0.65316,             0.63699,             0.63395,              0.3312,            0.038186,            0.011416,            0.026156,             0.00406,             0.00406,             0.00406
                  62,            0.029856,            0.012575,           0.0040992,             0.67493,             0.62274,             0.62774,             0.32919,            0.038327,            0.011263,            0.025251,            0.003961,            0.003961,            0.003961
                  63,            0.029779,            0.012427,           0.0043437,             0.63743,             0.65555,             0.63832,             0.32703,            0.038355,            0.011561,            0.023462,            0.003862,            0.003862,            0.003862
                  64,            0.029406,             0.01266,           0.0040681,              0.6876,             0.60587,             0.64026,              0.3293,            0.038085,            0.011454,            0.021381,            0.003763,            0.003763,            0.003763
                  65,            0.029573,            0.012437,           0.0041051,             0.66742,             0.59699,             0.62312,              0.3205,            0.038174,            0.011494,            0.025169,            0.003664,            0.003664,            0.003664
                  66,            0.029263,            0.012163,           0.0037973,             0.65554,             0.63692,             0.62484,             0.33424,            0.038161,            0.011438,            0.025489,            0.003565,            0.003565,            0.003565
                  67,             0.02916,            0.012297,            0.003984,             0.73935,             0.60951,             0.64095,             0.32601,            0.038991,            0.011535,            0.025656,            0.003466,            0.003466,            0.003466
                  68,            0.028842,            0.012222,           0.0039459,             0.70967,             0.62282,             0.63734,             0.32937,             0.03829,            0.011441,            0.025847,            0.003367,            0.003367,            0.003367
                  69,            0.028446,            0.012033,           0.0036483,             0.72027,             0.62355,             0.64815,             0.34339,            0.038089,            0.011443,            0.026512,            0.003268,            0.003268,            0.003268
                  70,            0.028627,             0.01221,           0.0034457,             0.65684,             0.62351,             0.63583,             0.33501,            0.038443,             0.01141,            0.028486,            0.003169,            0.003169,            0.003169
                  71,            0.028428,            0.012093,           0.0033178,             0.68585,             0.60962,             0.63179,             0.33265,            0.037929,            0.011576,            0.025094,             0.00307,             0.00307,             0.00307
                  72,            0.028304,            0.012156,           0.0033208,             0.62627,             0.64566,             0.62636,             0.32981,            0.037923,            0.011501,            0.025728,            0.002971,            0.002971,            0.002971
                  73,            0.027774,            0.011969,           0.0031228,             0.63709,             0.63667,              0.6252,             0.33306,            0.038399,            0.011588,            0.026355,            0.002872,            0.002872,            0.002872
                  74,            0.027859,            0.011888,           0.0030441,             0.68501,             0.63629,             0.63414,             0.33284,             0.03824,            0.011551,            0.025785,            0.002773,            0.002773,            0.002773
                  75,            0.027392,            0.011653,           0.0029428,             0.66337,             0.64671,             0.63708,             0.33833,            0.038452,             0.01175,            0.028417,            0.002674,            0.002674,            0.002674
